OBJECTID,FIPS,County,Tract_Name,Population_Total,Percent_Poverty_AllPeople_Income_Below_Pov_Level,Poverty_Per_Capita_Income,Housing_Poverty_Median_Household_Income,Housing_Poverty_Mean_Household_Income
486,08014980100,BROOMFIELD,"Census Tract 9801, Broomfield County, Colorado",0,0,0,0,0
487,08121924200,WASHINGTON,"Census Tract 9242, Washington County, Colorado",2825,12.8,25304,49133,61772
488,08123002006,WELD,"Census Tract 20.06, Weld County, Colorado",288,11.8,48611,97083,113764
489,08123002102,WELD,"Census Tract 21.02, Weld County, Colorado",13140,2.5,37414,100490,104543
490,08123002101,WELD,"Census Tract 21.01, Weld County, Colorado",10099,4.7,32404,84679,94790
491,08123002210,WELD,"Census Tract 22.10, Weld County, Colorado",1064,4.2,45221,115000,128891
492,08123002209,WELD,"Census Tract 22.09, Weld County, Colorado",2622,1.8,58641,108864,149046
493,08123002206,WELD,"Census Tract 22.06, Weld County, Colorado",3647,4.1,34948,74833,87622
494,08123002205,WELD,"Census Tract 22.05, Weld County, Colorado",4954,5.3,34327,75607,90087
495,08014980300,BROOMFIELD,"Census Tract 9803, Broomfield County, Colorado",0,0,0,0,0
496,08014030200,BROOMFIELD,"Census Tract 302, Broomfield County, Colorado",2052,6.1,40393,82609,90224
497,08014031100,BROOMFIELD,"Census Tract 311, Broomfield County, Colorado",6385,9.8,48457,71332,81251
498,08014031300,BROOMFIELD,"Census Tract 313, Broomfield County, Colorado",2574,0.2,81720,184231,239472
499,08014031400,BROOMFIELD,"Census Tract 314, Broomfield County, Colorado",6317,7.1,53145,129769,149540
500,08014030600,BROOMFIELD,"Census Tract 306, Broomfield County, Colorado",6027,2.3,38382,90278,104105
501,08014030900,BROOMFIELD,"Census Tract 309, Broomfield County, Colorado",5423,2.1,74520,123250,184775
502,08014030800,BROOMFIELD,"Census Tract 308, Broomfield County, Colorado",5958,11.1,36028,102706,109504
503,08014031000,BROOMFIELD,"Census Tract 310, Broomfield County, Colorado",5731,2.6,54774,112288,141296
504,08123002204,WELD,"Census Tract 22.04, Weld County, Colorado",1998,5.8,40568,90956,101986
505,08123002203,WELD,"Census Tract 22.03, Weld County, Colorado",2861,1.4,43070,102422,136204
506,08123002014,WELD,"Census Tract 20.14, Weld County, Colorado",2172,3.5,35246,78274,91272
507,08123002017,WELD,"Census Tract 20.17, Weld County, Colorado",683,2.2,67002,146591,188020
508,08123002011,WELD,"Census Tract 20.11, Weld County, Colorado",1605,1.7,54672,115833,175120
509,08123002015,WELD,"Census Tract 20.15, Weld County, Colorado",1308,0.5,38870,108684,118089
510,08123001907,WELD,"Census Tract 19.07, Weld County, Colorado",2965,6.6,38435,80787,107751
511,08123001905,WELD,"Census Tract 19.05, Weld County, Colorado",4655,8.4,25411,64042,78218
512,08123002021,WELD,"Census Tract 20.21, Weld County, Colorado",738,10.7,43078,93523,113294
513,08014030500,BROOMFIELD,"Census Tract 305, Broomfield County, Colorado",5836,1.6,64319,141299,177116
514,08014980200,BROOMFIELD,"Census Tract 9802, Broomfield County, Colorado",0,0,0,0,0
515,08014030300,BROOMFIELD,"Census Tract 303, Broomfield County, Colorado",3922,7.6,46696,63327,101400
516,08014030000,BROOMFIELD,"Census Tract 300, Broomfield County, Colorado",3579,12.5,36271,70000,88822
517,08014030100,BROOMFIELD,"Census Tract 301, Broomfield County, Colorado",2271,5.5,34622,71750,86684
518,08014030400,BROOMFIELD,"Census Tract 304, Broomfield County, Colorado",3998,0.2,51112,131406,150252
519,08014031200,BROOMFIELD,"Census Tract 312, Broomfield County, Colorado",4872,7,48481,88313,100624
520,08014030700,BROOMFIELD,"Census Tract 307, Broomfield County, Colorado",2941,7.5,48623,92379,111231
521,08123002020,WELD,"Census Tract 20.20, Weld County, Colorado",6041,1.8,35401,114649,117626
522,08123002016,WELD,"Census Tract 20.16, Weld County, Colorado",3222,4.6,28945,69604,78315
523,08123002018,WELD,"Census Tract 20.18, Weld County, Colorado",1856,0.5,40622,123603,133218
524,08123002019,WELD,"Census Tract 20.19, Weld County, Colorado",5860,4.8,37601,99013,105560
525,08123002008,WELD,"Census Tract 20.08, Weld County, Colorado",5434,4,47780,125729,132486
526,08123002007,WELD,"Census Tract 20.07, Weld County, Colorado",6611,5.5,39679,104338,113389
527,08123002005,WELD,"Census Tract 20.05, Weld County, Colorado",1158,3.2,36053,110263,115173
528,08123002004,WELD,"Census Tract 20.04, Weld County, Colorado",4528,7.1,24955,58542,66261
529,08123000704,WELD,"Census Tract 7.04, Weld County, Colorado",1112,1.6,25840,79583,81478
530,08123000703,WELD,"Census Tract 7.03, Weld County, Colorado",6713,19.5,19585,52255,60239
531,08123001006,WELD,"Census Tract 10.06, Weld County, Colorado",4892,17,20934,50370,59641
532,08123001413,WELD,"Census Tract 14.13, Weld County, Colorado",2716,11.5,29170,67591,78189
533,08123001415,WELD,"Census Tract 14.15, Weld County, Colorado",3638,5.1,38422,102240,112729
534,08123001409,WELD,"Census Tract 14.09, Weld County, Colorado",3522,6.2,33330,65938,78374
